Database???Annual by Province
Region£ºGuizhou
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Number of Cities at Prefecture Level(unit),,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4
Number of Regions at County Level(unit),,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
Number of Districts under the Jurisdiction of Cities(unit),,16,16,16,15,15,15,15,14,14,13,13,13,10,10,10,10,10,10,10
Number of Cities at County Level(unit),,10,10,9,9,9,8,7,7,7,7,7,7,9,9,9,9,9,9,9
Number of Counties(unit),,50,50,51,52,52,53,54,55,55,56,56,56,56,56,56,56,56,56,56
Number of Autonomous Counties(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Number of Regions at Townships Level(unit),,1509,1509,1509,1440,1381,1379,1379,1370,1396,1507,1518,1558,1560,1555,1553,1543,1543,1543,1540
Number of Towns(unit),,831,831,833,837,837,839,832,796,762,782,729,694,689,689,691,691,691,691,692
Number of Towns(unit),,314,314,315,315,317,317,326,401,500,606,710,751,757,757,758,506,506,508,507
Number of Street Communities(unit),,364,364,361,288,227,223,221,173,134,119,79,113,114,109,104,94,94,92,88
Data Sources£ºNational Bureau of Statistics
