,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
pref_city,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
county_reg,121,121,121,121,128,128,128,128,128,128,128,128,128,128,128,128,128,130,130
pref_city_distr,54,54,54,54,65,65,65,65,65,64,64,64,64,64,64,64,64,65,65
county_city,21,21,21,21,20,19,19,18,17,18,18,18,18,18,18,18,18,19,19
county,45,45,45,45,42,43,43,44,45,45,45,45,45,45,45,45,45,45,45
auto_county,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
town_reg,1315,1316,1292,1240,1196,1192,1197,1234,1231,1279,1278,1278,1278,1272,1272,1270,1270,1273,1297
city_town,574,565,562,557,541,532,521,512,513,495,485,478,473,467,467,466,470,470,473
rural_town,334,336,340,345,347,353,365,374,380,398,409,417,423,429,431,375,379,380,400
street,407,415,390,338,308,307,311,348,338,386,384,383,382,376,374,371,363,365,366
