Database???Annual by Province
Region£ºGuangdong
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Number of Cities at Prefecture Level(unit),,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Number of Regions at County Level(unit),,122,122,122,122,122,121,121,119,119,121,121,121,121,121,121,121,121,121,121
Number of Districts under the Jurisdiction of Cities(unit),,65,65,65,65,65,64,64,62,61,58,56,54,54,54,54,54,54,54,54
Number of Cities at County Level(unit),,20,20,20,20,20,20,20,20,21,23,23,23,23,23,23,23,23,23,23
Number of Counties(unit),,34,34,34,34,34,34,34,34,34,37,39,41,41,41,41,41,41,41,41
Number of Autonomous Counties(unit),,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Number of Regions at Townships Level(unit),,1612,1609,1611,1606,1601,1601,1600,1584,1587,1585,1586,1585,1581,1584,1584,1580,1579,1585,1612
Number of Towns(unit),,1112,1112,1116,1114,1123,1124,1128,1128,1128,1128,1131,1132,1134,1137,1139,1137,1137,1145,1188
Number of Towns(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,4,4,5
Number of Street Communities(unit),,489,486,484,481,467,466,461,445,448,446,444,442,436,436,434,432,431,429,412
Data Sources£ºNational Bureau of Statistics
