,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
pref_city,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
county_reg,,111,111,111,111,111,111,111,110,110,110,109,109,109,109,109,109,109,109,109
pref_city_distr,,41,41,41,41,40,40,40,37,36,36,34,34,34,34,34,34,34,34,34
county_city,,10,10,9,9,8,7,7,8,7,7,7,7,7,7,7,7,7,7,7
county,,48,48,49,49,51,52,52,53,55,55,56,56,56,56,56,56,56,56,56
auto_county,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
town_reg,,1253,1253,1251,1250,1251,1251,1246,1251,1243,1247,1243,1235,1234,1232,1231,1230,1230,1232,1396
city_town,,806,806,806,806,806,799,788,773,773,722,715,702,702,702,702,702,700,699,748
rural_town,,312,312,312,312,312,319,330,350,350,405,411,424,424,424,424,366,368,369,515
street,,135,135,133,132,133,133,128,128,120,120,117,109,108,106,105,104,104,106,72
